Title (if known),Season,New Commitment Status,"""Known"" vs. Additional",Status Quo,ASQ,Invest in All,Source,Exclusivity / Window,Year,Month,Month Year,Market,Region,New vs. Returning,Content type,Performance Tier,Tier Confirmed?,Budget Tier,PSI Content genre,Genre tier map,PSI Content format,Format,Genre,Co-pro flag,Anime flag,Animated flag,VFX flag,Release strategy,Simplified Categories,Volume (eps),Hours per ep,Volume (hours)
CEE Investment Obligations,N/A,Investment Obligation,Known,Include,Include,Include,N/A,N/A,2024,1,1/1/24,EMEA - ignore,EMEA,N/A,Development,N/A,N/A,N/A,Development,Development | N/A,Development,Development,Development,0,0,0,0,,N/A,N/A,N/A,N/A
NL Investment Obligations,N/A,Investment Obligation,Known,Include,Include,Include,N/A,N/A,2024,1,1/1/24,EMEA - ignore,EMEA,N/A,Development,N/A,N/A,N/A,Development,Development | N/A,Development,Development,Development,0,0,0,0,,N/A,N/A,N/A,N/A
France Investment Obligations (library carve off only),N/A,Investment Obligation,Known,Include,Include,Include,N/A,N/A,2024,1,1/1/24,EMEA - ignore,EMEA,N/A,Development,N/A,N/A,N/A,Development,Development | N/A,Development,Development,Development,0,0,0,0,,N/A,N/A,N/A,N/A
AFTER THE BITE,N/A,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,7,7/1/23,US,NA,New,Documentary,Bronze,Y,Silver,Unscripted,Unscripted | Bronze,Feature,Documentary,Unscripted,0,0,0,0,,Doc Features + Series,1,1.5,1.5
100 FOOT WAVE S2,2,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,4,4/1/23,US,NA,Returning,Docuseries,Silver,Y,Platinum,Unscripted,Unscripted | Silver,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,6,1,6
RAMY YOUSSEF SPECIAL,N/A,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,11,11/1/23,US,NA,New,Special / Stand-Up,Silver,Y,Gold,Unscripted,Unscripted | Silver,Feature,Special,Unscripted,0,0,0,0,,Unscripted,1,1,1
BURDEN OF PROOF,1,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,6,6/1/23,US,NA,New,Docuseries,Bronze,N,Silver,Unscripted,Unscripted | Bronze,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,4,1,4
SEEN & HEARD,N/A,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2024,5,5/1/24,US,NA,New,Documentary,SIlver,Y,Gold,Unscripted,Unscripted | SIlver,Feature,Documentary,Unscripted,0,0,0,0,,Doc Features + Series,2,1.5,3
THE IDOL S1,1,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,6,6/1/23,US,NA,New,Scripted Series - Live Action Drama,Gold,Y,Silver,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,5,1,5
HER NAME WAS TAWANA,1,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,11,11/1/23,US,NA,New,Docuseries,Silver,Y,Platinum,Unscripted,Unscripted | Silver,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,5,1,5
STEVEN VAN ZANDT: DISCIPLE,N/A,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,12,12/1/23,US,NA,New,Documentary,Bronze,Y,Bronze,Unscripted,Unscripted | Bronze,Feature,Documentary,Unscripted,0,0,0,0,,Doc Features + Series,1,1.5,1.5
GAME THEORY S2,2,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,1,1/1/23,US,NA,Returning,Sports - Talk,Bronze,Y,Gold,Unscripted,Unscripted | Bronze,Series - Unscripted,News / Talk / Sports,Unscripted,0,0,0,0,,Unscripted,10,0.5,5
REAL SPORTS S29,29,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,1,1/1/23,US,NA,Returning,Sports - Talk,Bronze,Y,Gold,Unscripted,Unscripted | Bronze,Series - Unscripted,News / Talk / Sports,Unscripted,0,0,0,0,,Unscripted,12,1,12
THE LAST OF US S1,1,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,1,1/1/23,US,NA,New,Scripted Series - Live Action Drama,Platinum,Y,Platinum,Drama,Drama | Platinum,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,9,1.06,9.5
WHITE HOUSE PLUMBERS,1,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,5,5/1/23,US,NA,New,Scripted Limited Series - Live Action Drama,Gold,Y,Platinum,Drama,Drama | Gold,Limited / Doc series,Series - Scripted,Drama,0,0,0,0,,Scripted Series,5,1,5
STEVE WAY SPECIAL,N/A,Priority Uncommitted,Known,Include,Include,Include,HBO OP,HBO Concurrent,2024,3,3/1/24,US,NA,New,Special / Stand-Up,Bronze,Y,Silver,Unscripted,Unscripted | Bronze,Feature,Special,Unscripted,0,0,0,0,,Unscripted,1,1,1
REAL TIME WITH BILL MAHER S21,21,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,1,1/1/23,US,NA,Returning,News / Talk,Bronze,Y,Gold,Unscripted,Unscripted | Bronze,Series - Unscripted,News / Talk / Sports,Unscripted,0,0,0,0,,Unscripted,35,1,35
"THE JINX, PART TWO",2,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,10,10/1/23,US,NA,Returning,Docuseries,Gold,Y,Platinum,Unscripted,Unscripted | Gold,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,6,1.08,6.5
LAST WEEK TONIGHT WITH JOHN OLIVER S10,10,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,2,2/1/23,US,NA,Returning,News / Talk,Silver,Y,Platinum,Unscripted,Unscripted | Silver,Series - Unscripted,News / Talk / Sports,Unscripted,0,0,0,0,,Unscripted,30,0.5,15
PERRY MASON S2,2,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,3,3/1/23,US,NA,Returning,Scripted Series - Live Action Drama,Silver,Y,Platinum,Drama,Drama | Silver,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,8,1,8
RAIN DOGS S1,1,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,3,3/1/23,US,NA,New,Scripted Series - Live Action Comedy,Bronze,Y,Silver,Comedy,Comedy | Bronze,Series - Comedy,Series - Scripted,Comedy,0,0,0,0,,Scripted Series,8,0.5,4
SOMEBODY SOMEWHERE S2,2,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,4,4/1/23,US,NA,Returning,Scripted Series - Live Action Comedy,Bronze,Y,Gold,Comedy,Comedy | Bronze,Series - Comedy,Series - Scripted,Comedy,0,0,0,0,,Scripted Series,7,0.5,3.5
BS HIGH,N/A,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,8,8/1/23,US,NA,New,Documentary,Bronze,Y,Gold,Unscripted,Unscripted | Bronze,Feature,Documentary,Unscripted,0,0,0,0,,Doc Features + Series,1,1.5,1.5
THE YOGURT SHOP MURDERS,1,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2024,9,9/1/24,US,NA,New,Docuseries,Silver,Y,Platinum,Unscripted,Unscripted | Silver,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,4,1,4
SUCCESSION S4,4,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,3,3/1/23,US,NA,Returning,Scripted Series - Live Action Drama,Gold,Y,Platinum,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,10,1,10
ANGEL CITY,1,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,5,5/1/23,US,NA,New,Docuseries,Silver,Y,Platinum,Unscripted,Unscripted | Silver,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,3,1,3
TBD DOCUSERIES F,1,Unnamed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2026,9,9/1/26,US,NA,New,Docuseries,Platinum,N,Platinum,Unscripted,Unscripted | Platinum,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,4,1,4
THE TELEMARKETERS,1,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,8,8/1/23,US,NA,New,Docuseries,Silver,Y,Platinum,Unscripted,Unscripted | Silver,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,3,1,3
A BLACK LADY SKETCH SHOW S4,4,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,4,4/1/23,US,NA,Returning,Scripted Series - Live Action Comedy,Bronze,Y,Gold,Comedy,Comedy | Bronze,Series - Comedy,Series - Scripted,Comedy,0,0,0,0,,Scripted Series,6,0.5,3
WORST KEPT SECRET,N/A,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2024,6,6/1/24,US,NA,New,Documentary,Silver,Y,Silver,Unscripted,Unscripted | Silver,Feature,Documentary,Unscripted,0,0,0,0,,Doc Features + Series,1,1.5,1.5
BARRY S4,4,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,4,4/1/23,US,NA,Returning,Scripted Series - Live Action Comedy,Gold,Y,Platinum,Comedy,Comedy | Gold,Series - Comedy,Series - Scripted,Comedy,0,0,0,0,,Scripted Series,8,0.5,4
THE RIGHTEOUS GEMSTONES S3,3,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,6,6/1/23,US,NA,Returning,Scripted Series - Live Action Comedy,Gold,Y,Platinum,Comedy,Comedy | Gold,Series - Comedy,Series - Scripted,Comedy,0,0,0,0,,Scripted Series,9,0.5,4.5
THE GILDED AGE S2,2,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,9,9/1/23,US,NA,Returning,Scripted Series - Live Action Drama,Gold,Y,Platinum,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,8,1,8
FANTASMAS S1,1,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2024,2,2/1/24,US,NA,New,Scripted Series - Live Action Comedy,Bronze,Y,Silver,Comedy,Comedy | Bronze,Series - Comedy,Series - Scripted,Comedy,0,0,0,0,,Scripted Series,6,0.5,3
2023 TBD SPECIALS,N/A,Unnamed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,6,6/1/23,US,NA,New,Special / Stand-Up,Bronze,Y,Silver,Unscripted,Unscripted | Bronze,Feature,Special,Unscripted,0,0,0,0,,Unscripted,5,1,5
SARAH SILVERMAN SPECIAL,N/A,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,5,5/1/23,US,NA,New,Special / Stand-Up,Silver,Y,Platinum,Unscripted,Unscripted | Silver,Feature,Special,Unscripted,0,0,0,0,,Unscripted,1,1,1
TBD DOCUSERIES G,1,Unnamed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2026,12,12/1/26,US,NA,New,Docuseries,Platinum,N,Platinum,Unscripted,Unscripted | Platinum,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,6,1,6
GET MILLIE BLACK,1,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2024,10,10/1/24,US,NA,New,Scripted Limited Series - Live Action Drama,Silver,Y,Bronze,Drama,Drama | Silver,Limited / Doc series,Series - Scripted,Drama,0,0,0,0,,Scripted Series,6,1,6
CB STRIKE: TROUBLED BLOOD,1,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,2,2/1/23,US,NA,New,Scripted Limited Series - Live Action Drama,Bronze,Y,Bronze,Drama,Drama | Bronze,Limited / Doc series,Series - Scripted,Drama,0,0,0,0,,Scripted Series,4,1,4
EDGE OF THE EARTH S2,2,Priority Uncommitted,Known,Include,Include,Include,HBO OP,HBO Concurrent,2025,10,10/1/25,US,NA,Returning,Docuseries,Bronze,Y,Platinum,Unscripted,Unscripted | Bronze,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,4,1,4
WINNING TIME S2,2,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,8,8/1/23,US,NA,Returning,Scripted Series - Live Action Drama,Gold,Y,Platinum,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,7,1,7
HOW TO WITH JOHN WILSON S3,3,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,7,7/1/23,US,NA,Returning,Scripted Series - Live Action Comedy,Bronze,Y,Bronze,Comedy,Comedy | Bronze,Series - Comedy,Series - Scripted,Comedy,0,0,0,0,,Scripted Series,6,0.5,3
HARD KNOCKS S18,18,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,8,8/1/23,US,NA,Returning,Sports - Special / Limited Series / Doc,Gold,Y,Gold,Unscripted,Unscripted | Gold,Feature,News / Talk / Sports,Unscripted,0,0,0,0,,Unscripted,5,1,5
GOLDEN BOY: OSCAR DE LA HOYA PROJECT,N/A,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,7,7/1/23,US,NA,New,Documentary,Silver,Y,Silver,Unscripted,Unscripted | Silver,Feature,Documentary,Unscripted,0,0,0,0,,Doc Features + Series,2,1.5,3
TBD DOCUSERIES B,1,Unnamed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2026,3,3/1/26,US,NA,New,Docuseries,Platinum,N,Platinum,Unscripted,Unscripted | Platinum,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,3,1,3
TBD DOCUSERIES E,1,Unnamed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2026,2,2/1/26,US,NA,New,Docuseries,Platinum,N,Platinum,Unscripted,Unscripted | Platinum,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,12,1,12
TRUE DETECTIVE S4,4,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,11,11/1/23,US,NA,Returning,Scripted Series - Live Action Drama,Gold,Y,Platinum,Drama,Drama | Gold,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,6,1,6
CURB YOUR ENTHUSIASM S12,12,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2024,1,1/1/24,US,NA,Returning,Scripted Series - Live Action Comedy,Gold,Y,Platinum,Comedy,Comedy | Gold,Series - Comedy,Series - Scripted,Comedy,0,0,0,0,,Scripted Series,10,0.55,5.5
BLOOD IN THE GARDEN,1,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2026,5,5/1/26,US,NA,New,Docuseries,Silver,Y,Platinum,Unscripted,Unscripted | Silver,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,9,1,9
TBD DOCUSERIES C,1,Unnamed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2026,4,4/1/26,US,NA,New,Docuseries,Platinum,N,Platinum,Unscripted,Unscripted | Platinum,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,6,1,6
THE PALACE,1,Priority Uncommitted,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,11,11/1/23,US,NA,New,Scripted Limited Series - Live Action Drama,Gold,Y,Silver,Drama,Drama | Gold,Limited / Doc series,Series - Scripted,Drama,0,0,0,0,,Scripted Series,6,1,6
THE REHEARSAL S2,2,Priority Uncommitted,Known,Include,Include,Include,HBO OP,HBO Concurrent,2024,4,4/1/24,US,NA,Returning,Scripted Series - Live Action Comedy,Gold,Y,Gold,Comedy,Comedy | Gold,Series - Comedy,Series - Scripted,Comedy,0,0,0,0,,Scripted Series,6,0.5,3
TBD DOCUSERIES A,1,Unnamed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2026,1,1/1/26,US,NA,New,Docuseries,Platinum,N,Platinum,Unscripted,Unscripted | Platinum,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,4,1.13,4.5
TBD DOCUSERIES D,1,Unnamed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2026,7,7/1/26,US,NA,New,Docuseries,Platinum,N,Platinum,Unscripted,Unscripted | Platinum,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,3,1,3
PETE ROSE DOC,N/A,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2025,3,3/1/25,US,NA,New,Documentary,Bronze,Y,Silver,Unscripted,Unscripted | Bronze,Feature,Documentary,Unscripted,0,0,0,0,,Doc Features + Series,2,1.5,3
EUPHORIA S3,3,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2025,1,1/1/25,US,NA,Returning,Scripted Series - Live Action Drama,Platinum,Y,Platinum,Drama,Drama | Platinum,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,8,1,8
REAL SPORTS S30,30,Priority Uncommitted,Known,Include,Include,Include,HBO OP,HBO Concurrent,2024,1,1/1/24,US,NA,Returning,Sports - Talk,Bronze,Y,Gold,Unscripted,Unscripted | Bronze,Series - Unscripted,News / Talk / Sports,Unscripted,0,0,0,0,,Unscripted,12,1,12
REAL TIME WITH BILL MAHER S22,22,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2024,1,1/1/24,US,NA,Returning,News / Talk,Bronze,Y,Gold,Unscripted,Unscripted | Bronze,Series - Unscripted,News / Talk / Sports,Unscripted,0,0,0,0,,Unscripted,35,1,35
LAST WEEK TONIGHT WITH JOHN OLIVER S11,11,Priority Uncommitted,Known,Include,Include,Include,HBO OP,HBO Concurrent,2024,2,2/1/24,US,NA,Returning,News / Talk,Silver,Y,Platinum,Unscripted,Unscripted | Silver,Series - Unscripted,News / Talk / Sports,Unscripted,0,0,0,0,,Unscripted,30,0.5,15
DUNK & EGG S1,1,Priority Uncommitted,Known,Include,Include,Include,HBO OP,HBO Concurrent,2025,4,4/1/25,US,NA,New,Scripted Series - Live Action Drama,Platinum,Y,Gold,Drama,Drama | Platinum,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,6,1,6
2024 TBD FILM,N/A,Unnamed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2026,5,5/1/26,US,NA,New,Scripted - Movie - Drama / Romance,Silver,Y,Silver,Drama,Drama | Silver,Feature,Feature,Drama,0,0,0,0,,Scripted Features,1,2,2
THE SYMPATHIZER,1,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2024,1,1/1/24,US,NA,New,Scripted Limited Series - Live Action Drama,Gold,Y,Platinum,Drama,Drama | Gold,Limited / Doc series,Series - Scripted,Drama,0,0,0,0,,Scripted Series,7,1,7
A BLACK LADY SKETCH SHOW S5 / TBD,5,Named (Renewal),Known,Include,Include,Include,HBO OP,HBO Concurrent,2024,3,3/1/24,US,NA,Returning,Scripted Series - Live Action Comedy,Bronze,Y,Gold,Comedy,Comedy | Bronze,Series - Comedy,Series - Scripted,Comedy,0,0,0,0,,Scripted Series,6,0.5,3
THE RIGHTEOUS GEMSTONES S4 / TBD,4,Named (Renewal),Known,Include,Include,Include,HBO OP,HBO Concurrent,2024,10,10/1/24,US,NA,Returning,Scripted Series - Live Action Comedy,Gold,Y,Platinum,Comedy,Comedy | Gold,Series - Comedy,Series - Scripted,Comedy,0,0,0,0,,Scripted Series,9,0.5,4.5
2024 TBD SPECIALS,N/A,Unnamed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2024,5,5/1/24,US,NA,New,Special / Stand-Up,Silver,Y,Silver,Unscripted,Unscripted | Silver,Feature,Special,Unscripted,0,0,0,0,,Unscripted,8,2.13,17
MY BRILLIANT FRIEND S4,4,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2024,7,7/1/24,US,NA,Returning,Scripted Series - Live Action Drama,Bronze,Y,Bronze,Drama,Drama | Bronze,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,10,1,10
HOUSE OF THE DRAGON S2,2,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2024,6,6/1/24,US,NA,Returning,Scripted Series - Live Action Drama,Platinum,Y,Platinum,Drama,Drama | Platinum,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,8,1,8
HARD KNOCKS S19,19,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2024,8,8/1/24,US,NA,Returning,Sports - Special / Limited Series / Doc,Gold,Y,Gold,Unscripted,Unscripted | Gold,Feature,News / Talk / Sports,Unscripted,0,0,0,0,,Unscripted,5,1,5
CELTICS PROJECT,1,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2024,9,9/1/24,US,NA,New,Docuseries,Gold,Y,Platinum,Unscripted,Unscripted | Gold,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,9,1,9
THE REHEARSAL S3 / TBD,3,Named (Renewal),Known,Include,Include,Include,HBO OP,HBO Concurrent,2025,10,10/1/25,US,NA,Returning,Scripted Series - Live Action Comedy,Silver,Y,Gold,Comedy,Comedy | Silver,Series - Comedy,Series - Scripted,Comedy,0,0,0,0,,Scripted Series,6,0.5,3
2025 TBD DOCUSERIES C,1,Unnamed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2026,4,4/1/26,US,NA,New,Docuseries,Platinum,Y,Platinum,Unscripted,Unscripted | Platinum,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,6,1,6
REAL TIME WITH BILL MAHER S23,23,Priority Uncommitted,Known,Include,Include,Include,HBO OP,HBO Concurrent,2025,1,1/1/25,US,NA,Returning,News / Talk,Bronze,Y,Gold,Unscripted,Unscripted | Bronze,Series - Unscripted,News / Talk / Sports,Unscripted,0,0,0,0,,Unscripted,35,1,35
THE LAST OF US S2,2,Priority Uncommitted,Known,Include,Include,Include,HBO OP,HBO Concurrent,2025,3,3/1/25,US,NA,Returning,Scripted Series - Live Action Drama,Platinum,Y,Platinum,Drama,Drama | Platinum,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,7,1,7
LAST WEEK TONIGHT WITH JOHN OLIVER S12,12,Priority Uncommitted,Known,Include,Include,Include,HBO OP,HBO Concurrent,2025,2,2/1/25,US,NA,Returning,News / Talk,Silver,Y,Platinum,Unscripted,Unscripted | Silver,Series - Unscripted,News / Talk / Sports,Unscripted,0,0,0,0,,Unscripted,30,0.5,15
DUNK & EGG S2 / TBD,2,Named (Renewal),Known,Include,Include,Include,HBO OP,HBO Concurrent,2026,11,11/1/26,US,NA,Returning,Scripted Series - Live Action Drama,Platinum,N,Platinum,Drama,Drama | Platinum,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,6,1,6
2025 TBD FILM,N/A,Unnamed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2026,5,5/1/26,US,NA,New,Scripted - Movie - Drama / Romance,Silver,Y,Silver,Drama,Drama | Silver,Feature,Feature,Drama,0,0,0,0,,Scripted Features,1,2,2
GAME THEORY S4,4,Priority Uncommitted,Known,Include,Include,Include,HBO OP,HBO Concurrent,2025,3,3/1/25,US,NA,Returning,Sports - Talk,Bronze,Y,Gold,Unscripted,Unscripted | Bronze,Series - Unscripted,News / Talk / Sports,Unscripted,0,0,0,0,,Unscripted,6,0.5,3
2025 TBD DOCUSERIES B,1,Unnamed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2026,6,6/1/26,US,NA,New,Docuseries,Platinum,Y,Platinum,Unscripted,Unscripted | Platinum,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,3,1,3
THE RIGHTEOUS GEMSTONES S5 / TBD,5,Named (Renewal),Known,Include,Include,Include,HBO OP,HBO Concurrent,2025,10,10/1/25,US,NA,Returning,Scripted Series - Live Action Comedy,Gold,Y,Platinum,Comedy,Comedy | Gold,Series - Comedy,Series - Scripted,Comedy,0,0,0,0,,Scripted Series,9,0.5,4.5
2025 TBD SPECIALS,N/A,Unnamed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2025,5,5/1/25,US,NA,New,Special / Stand-Up,Gold,Y,Gold,Unscripted,Unscripted | Gold,Feature,Special,Unscripted,0,0,0,0,,Unscripted,10,2.5,25
EUPHORIA S4 / TBD,4,Named (Renewal),Known,Include,Include,Include,HBO OP,HBO Concurrent,2026,10,10/1/26,US,NA,Returning,Scripted Series - Live Action Drama,Platinum,N,Platinum,Drama,Drama | Platinum,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,8,1,8
HARD KNOCKS S20,20,Priority Uncommitted,Known,Include,Include,Include,HBO OP,HBO Concurrent,2025,8,8/1/25,US,NA,Returning,Sports - Special / Limited Series / Doc,Gold,Y,Gold,Unscripted,Unscripted | Gold,Feature,News / Talk / Sports,Unscripted,0,0,0,0,,Unscripted,5,1,5
2025 TBD HOUR S1,1,Unnamed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2025,6,6/1/25,US,NA,New,Scripted Series - Live Action Drama,Platinum,Y,Platinum,Drama,Drama | Platinum,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,10,1,10
2025 TBD DOCUSERIES A,1,Unnamed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2026,1,1/1/26,US,NA,New,Docuseries,Platinum,Y,Platinum,Unscripted,Unscripted | Platinum,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,4,1.13,4.5
2025 TBD DOCUSERIES D,1,Unnamed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2026,7,7/1/26,US,NA,New,Docuseries,Platinum,Y,Platinum,Unscripted,Unscripted | Platinum,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,3,1,3
THE REHEARSAL S4 / TBD,4,Named (Renewal),Known,Include,Include,Include,HBO OP,HBO Concurrent,2026,10,10/1/26,US,NA,Returning,Scripted Series - Live Action Comedy,Silver,N,Gold,Comedy,Comedy | Silver,Series - Comedy,Series - Scripted,Comedy,0,0,0,0,,Scripted Series,6,0.5,3
HOUSE OF THE DRAGON S3,3,Priority Uncommitted,Known,Include,Include,Include,HBO OP,HBO Concurrent,2026,5,5/1/26,US,NA,Returning,Scripted Series - Live Action Drama,Platinum,Y,Platinum,Drama,Drama | Platinum,Series - Drama,Series - Scripted,Drama,0,0,0,0,,Scripted Series,10,1,10
"LOVE TO LOVE YOU, DONNA SUMMER",N/A,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,5,5/1/23,US,NA,New,Documentary,Silver,Y,Gold,Unscripted,Unscripted | Silver,Feature,Documentary,Unscripted,0,0,0,0,,Doc Features + Series,1,2,2
MOONAGE DAYDREAM,N/A,Committed,Known,Include,Include,Include,HBO OP,HBO Concurrent,2023,4,4/1/23,US,NA,New,Documentary,Silver,Y,Silver,Unscripted,Unscripted | Silver,Feature,Documentary,Unscripted,0,0,0,0,,Doc Features + Series,1,2,2
